,season_x,player_name,Tm,Age,Pos,Int,PD,Sk,QBHits,season_y,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
2490,2016,Chimdi Chekwa,MIA,28,DB,0,0,0.0,0,2011,CB,Ohio State,72,191.0,4.38,20.0,34.5,126.0,7.0,4.0
2491,2016,Kedric Golston,WAS,33,DT,0,0,0.0,1,2006,DT,Georgia,76,300.0,4.88,31.0,33.0,111.0,7.6,4.45
2492,2016,Geneo Grissom,NWE,24,LB,0,0,0.0,0,2015,OLB,Oklahoma,75,262.0,4.81,20.0,37.0,117.0,7.24,4.38
2493,2017,Geneo Grissom,NWE,25,LB,0,0,0.0,0,2015,OLB,Oklahoma,75,262.0,4.81,20.0,37.0,117.0,7.24,4.38
2494,2018,Geneo Grissom,2TM,26,LB,0,0,0.0,0,2015,OLB,Oklahoma,75,262.0,4.81,20.0,37.0,117.0,7.24,4.38
2495,2016,Lamarr Houston,CHI,29,DT,0,0,0.0,1,2010,DT,Texas,75,305.0,4.84,30.0,33.5,114.0,7.61,4.71
2496,2017,Lamarr Houston,2TM,30,DT,0,1,5.0,9,2010,DT,Texas,75,305.0,4.84,30.0,33.5,114.0,7.61,4.71
2497,2016,Jeron Johnson,SEA,28,DB,0,0,0.0,0,2011,S,Boise State,70,212.0,4.51,23.0,,114.0,7.0,4.0
2498,2016,Taiwan Jones,NYJ,23,LB,0,0,0.0,0,2015,ILB,Michigan State,75,245.0,4.95,19.0,32.0,115.0,7.25,4.33
2499,2016,Owamagbe Odighizuwa,NYG,24,DE,0,1,0.0,2,2015,DE,UCLA,75,267.0,4.62,25.0,39.0,127.0,7.36,4.19
2500,2016,Nate Orchard,CLE,23,DE,0,0,0.0,3,2015,DE,Utah,75,250.0,4.8,20.0,31.5,115.0,7.28,4.43
2501,2017,Nate Orchard,CLE,24,DE,0,0,2.0,6,2015,DE,Utah,75,250.0,4.8,20.0,31.5,115.0,7.28,4.43
2502,2018,Nate Orchard,2TM,25,DE,0,1,0.0,1,2015,DE,Utah,75,250.0,4.8,20.0,31.5,115.0,7.28,4.43
2503,2019,Nate Orchard,WAS,26,DE,0,1,1.0,2,2015,DE,Utah,75,250.0,4.8,20.0,31.5,115.0,7.28,4.43
2504,2020,Nate Orchard,WAS,27,DE,0,0,0.0,0,2015,DE,Utah,75,250.0,4.8,20.0,31.5,115.0,7.28,4.43
2505,2016,Tyvis Powell,SEA,22,DB,0,0,0.0,0,2016,S,Ohio State,75,211.0,4.46,15.0,34.5,120.0,7.03,4.25
2506,2017,Tyvis Powell,SFO,23,DB,0,0,0.0,0,2016,S,Ohio State,75,211.0,4.46,15.0,34.5,120.0,7.03,4.25
2507,2018,Tyvis Powell,SFO,24,DB,0,0,0.0,0,2016,S,Ohio State,75,211.0,4.46,15.0,34.5,120.0,7.03,4.25
2508,2016,Marcus Roberson,BUF,24,DB,0,1,0.0,0,2014,CB,Florida,72,191.0,4.61,8.0,37.5,120.0,6.84,4.08
2509,2016,Terrance Smith,KAN,23,LB,0,0,0.0,0,2016,ILB,Florida State,75,235.0,4.77,19.0,34.5,120.0,7.0,4.0
2510,2017,Terrance Smith,KAN,24,LB,1,2,0.0,0,2016,ILB,Florida State,75,235.0,4.77,19.0,34.5,120.0,7.0,4.0
2511,2018,Terrance Smith,KAN,25,LB,0,0,1.0,1,2016,ILB,Florida State,75,235.0,4.77,19.0,34.5,120.0,7.0,4.0
2512,2020,Terrance Smith,ARI,27,LB,0,0,0.0,0,2016,ILB,Florida State,75,235.0,4.77,19.0,34.5,120.0,7.0,4.0
