,season_x,player_name,Tm,Age,Pos,Int,PD,Sk,QBHits,season_y,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
0,2016,Kwon Alexander,TAM,22,MLB,1,7,3.0,7,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
1,2017,Kwon Alexander,TAM,23,MLB,3,4,0.0,3,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
2,2018,Kwon Alexander,TAM,24,MLB,0,2,1.0,2,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
3,2019,Kwon Alexander,SFO,25,LLB,1,4,0.5,1,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
4,2020,Kwon Alexander,2TM,26,LLB,0,4,1.0,2,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
5,2021,Kwon Alexander,NOR,27,LLB,1,2,3.5,7,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
6,2022,Kwon Alexander,NYJ,28,LB,0,1,0.5,2,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
7,2016,Landon Collins,NYG,22,SS,5,13,4.0,5,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
8,2017,Landon Collins,NYG,23,SS,2,6,0.0,2,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
9,2018,Landon Collins,NYG,24,SS,0,4,0.0,2,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
10,2019,Landon Collins,WAS,25,SS,0,4,1.0,3,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
11,2020,Landon Collins,WAS,26,SS,1,1,2.0,1,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
12,2021,Landon Collins,WAS,27,SS,2,2,3.0,2,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
13,2022,Landon Collins,NYG,28,S,1,2,1.0,1,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
14,2016,Telvin Smith,JAX,25,LLB,2,8,1.0,2,2014,OLB,Florida State,75,218.0,4.52,20.0,31.5,119.0,7.0,4.0
15,2017,Telvin Smith,JAX,26,LLB,3,5,1.0,2,2014,OLB,Florida State,75,218.0,4.52,20.0,31.5,119.0,7.0,4.0
16,2018,Telvin Smith,JAX,27,LLB,2,2,1.0,3,2014,OLB,Florida State,75,218.0,4.52,20.0,31.5,119.0,7.0,4.0
17,2016,Tahir Whitehead,DET,26,MLB,0,5,0.0,0,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
18,2017,Tahir Whitehead,DET,27,LLB,1,2,1.0,4,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
19,2018,Tahir Whitehead,OAK,28,RLB,1,5,0.0,1,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
20,2019,Tahir Whitehead,OAK,29,LLB,0,1,0.0,1,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
21,2020,Tahir Whitehead,CAR,30,MLB,1,1,0.0,1,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
22,2021,Tahir Whitehead,ARI,31,LB,0,0,0.0,0,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
23,2016,Alec Ogletree,LAR,25,MLB,2,11,0.0,3,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
24,2017,Alec Ogletree,LAR,26,RILB,1,10,2.0,5,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
25,2018,Alec Ogletree,NYG,27,RILB,5,8,1.0,4,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
26,2019,Alec Ogletree,NYG,28,LILB,1,6,1.0,3,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
27,2020,Alec Ogletree,NYJ,29,LB,0,0,0.0,0,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
28,2021,Alec Ogletree,CHI,30,LILB,0,4,0.0,3,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
29,2016,Zach Brown,BUF,27,LILB,1,4,4.0,8,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
30,2017,Zach Brown,WAS,28,LILB,0,2,2.5,5,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
31,2018,Zach Brown,WAS,29,LILB,0,1,1.0,2,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
32,2019,Zach Brown,PHI,30,MLB,0,2,0.0,0,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
33,2016,Paul Posluszny,JAX,32,MLB,1,3,1.5,3,2007,OLB,Penn State,74,238.0,4.7,22.0,37.0,116.0,6.94,4.2
34,2017,Paul Posluszny,JAX,33,MLB,0,2,1.5,2,2007,OLB,Penn State,74,238.0,4.7,22.0,37.0,116.0,6.94,4.2
35,2016,Christian Kirksey,CLE,24,RILB,0,3,2.5,7,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
36,2017,Christian Kirksey,CLE,25,LLB,0,5,3.5,6,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
37,2018,Christian Kirksey,CLE,26,LLB,2,5,0.0,0,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
38,2019,Christian Kirksey,CLE,27,LB,0,0,0.0,0,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
39,2020,Christian Kirksey,GNB,28,LILB,2,4,2.0,2,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
40,2021,Christian Kirksey,HOU,29,MLB,1,8,0.0,2,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
41,2022,Christian Kirksey,HOU,30,LB,2,5,3.0,7,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
42,2016,Antoine Bethea,SFO,32,SS,1,3,0.0,1,2006,S,Howard,71,203.0,4.39,19.0,36.5,127.0,6.99,4.11
43,2017,Antoine Bethea,ARI,33,DB,5,9,1.0,2,2006,S,Howard,71,203.0,4.39,19.0,36.5,127.0,6.99,4.11
44,2018,Antoine Bethea,ARI,34,FS,0,4,3.0,6,2006,S,Howard,71,203.0,4.39,19.0,36.5,127.0,6.99,4.11
45,2019,Antoine Bethea,NYG,35,FS,1,6,0.0,0,2006,S,Howard,71,203.0,4.39,19.0,36.5,127.0,6.99,4.11
46,2016,Sean Lee,DAL,30,RLB,0,1,0.0,2,2010,ILB,Penn State,74,236.0,4.71,24.0,37.5,120.0,7.0,4.0
47,2017,Sean Lee,DAL,31,RLB,1,1,0.0,1,2010,ILB,Penn State,74,236.0,4.71,24.0,37.5,120.0,7.0,4.0
48,2018,Sean Lee,DAL,32,RLB,0,1,0.5,2,2010,ILB,Penn State,74,236.0,4.71,24.0,37.5,120.0,7.0,4.0
49,2019,Sean Lee,DAL,33,LLB,1,4,1.0,1,2010,ILB,Penn State,74,236.0,4.71,24.0,37.5,120.0,7.0,4.0
50,2020,Sean Lee,DAL,34,LB,0,0,0.0,1,2010,ILB,Penn State,74,236.0,4.71,24.0,37.5,120.0,7.0,4.0
51,2016,Mark Barron,LAR,27,LLB,2,8,1.0,3,2012,S,Alabama,73,213.0,4.54,20.0,,114.0,7.0,4.0
52,2017,Mark Barron,LAR,28,DB,3,4,1.0,2,2012,S,Alabama,73,213.0,4.54,20.0,,114.0,7.0,4.0
53,2018,Mark Barron,LAR,29,RILB,0,1,1.0,1,2012,S,Alabama,73,213.0,4.54,20.0,,114.0,7.0,4.0
54,2019,Mark Barron,PIT,30,LILB,1,3,3.0,4,2012,S,Alabama,73,213.0,4.54,20.0,,114.0,7.0,4.0
55,2016,Mason Foster,WAS,27,RILB,0,3,1.0,5,2011,OLB,Washington,73,245.0,4.75,22.0,31.0,110.0,7.14,4.45
56,2017,Mason Foster,WAS,28,LB,1,1,0.5,2,2011,OLB,Washington,73,245.0,4.75,22.0,31.0,110.0,7.14,4.45
57,2018,Mason Foster,WAS,29,RILB,2,4,1.0,1,2011,OLB,Washington,73,245.0,4.75,22.0,31.0,110.0,7.14,4.45
58,2016,Preston Brown,BUF,24,RILB,0,1,1.0,3,2014,ILB,Louisville,73,251.0,4.86,23.0,33.0,116.0,6.98,4.26
59,2017,Preston Brown,BUF,25,MLB,0,3,0.0,2,2014,ILB,Louisville,73,251.0,4.86,23.0,33.0,116.0,6.98,4.26
60,2018,Preston Brown,CIN,26,MLB,2,4,0.0,0,2014,ILB,Louisville,73,251.0,4.86,23.0,33.0,116.0,6.98,4.26
61,2019,Preston Brown,2TM,27,LB/RLB,0,0,0.0,0,2014,ILB,Louisville,73,251.0,4.86,23.0,33.0,116.0,6.98,4.26
62,2016,Jamie Collins,2TM,27,LLB/ROLB,2,3,3.0,8,2013,OLB,Southern Miss,75,250.0,4.64,19.0,41.5,139.0,7.1,4.32
63,2017,Jamie Collins,CLE,28,RLB,1,3,1.0,2,2013,OLB,Southern Miss,75,250.0,4.64,19.0,41.5,139.0,7.1,4.32
64,2018,Jamie Collins,CLE,29,RLB,1,4,4.0,7,2013,OLB,Southern Miss,75,250.0,4.64,19.0,41.5,139.0,7.1,4.32
65,2019,Jamie Collins,NWE,30,LLB,3,7,7.0,10,2013,OLB,Southern Miss,75,250.0,4.64,19.0,41.5,139.0,7.1,4.32
66,2020,Jamie Collins,DET,31,RLB/MLB,1,6,1.0,3,2013,OLB,Southern Miss,75,250.0,4.64,19.0,41.5,139.0,7.1,4.32
67,2021,Jamie Collins,2TM,32,LB,1,3,1.0,3,2013,OLB,Southern Miss,75,250.0,4.64,19.0,41.5,139.0,7.1,4.32
68,2022,Jamie Collins,NWE,33,LB,0,0,0.0,0,2013,OLB,Southern Miss,75,250.0,4.64,19.0,41.5,139.0,7.1,4.32
69,2016,Benardrick McKinney,HOU,24,RILB,0,2,5.0,11,2015,ILB,Mississippi State,76,246.0,4.66,16.0,40.5,121.0,7.21,4.27
70,2017,Benardrick McKinney,HOU,25,LILB,0,1,3.0,8,2015,ILB,Mississippi State,76,246.0,4.66,16.0,40.5,121.0,7.21,4.27
71,2018,Benardrick McKinney,HOU,26,LILB,1,7,1.5,5,2015,ILB,Mississippi State,76,246.0,4.66,16.0,40.5,121.0,7.21,4.27
72,2019,Benardrick McKinney,HOU,27,LILB,0,3,1.0,4,2015,ILB,Mississippi State,76,246.0,4.66,16.0,40.5,121.0,7.21,4.27
73,2020,Benardrick McKinney,HOU,28,LB,0,1,0.0,0,2015,ILB,Mississippi State,76,246.0,4.66,16.0,40.5,121.0,7.21,4.27
74,2021,Benardrick McKinney,NYG,29,LB,0,0,0.0,0,2015,ILB,Mississippi State,76,246.0,4.66,16.0,40.5,121.0,7.21,4.27
75,2016,Tony Jefferson,ARI,24,SS,0,5,2.0,4,2013,S,Oklahoma,71,213.0,4.75,16.0,,114.0,7.0,4.0
76,2017,Tony Jefferson,BAL,25,SS,1,2,2.5,5,2013,S,Oklahoma,71,213.0,4.75,16.0,,114.0,7.0,4.0
77,2018,Tony Jefferson,BAL,26,SS,1,6,1.0,2,2013,S,Oklahoma,71,213.0,4.75,16.0,,114.0,7.0,4.0
78,2019,Tony Jefferson,BAL,27,FS,0,3,0.0,0,2013,S,Oklahoma,71,213.0,4.75,16.0,,114.0,7.0,4.0
79,2021,Tony Jefferson,2TM,29,DB,0,1,1.0,1,2013,S,Oklahoma,71,213.0,4.75,16.0,,114.0,7.0,4.0
80,2022,Tony Jefferson,NYG,30,S,0,1,0.0,0,2013,S,Oklahoma,71,213.0,4.75,16.0,,114.0,7.0,4.0
81,2016,Lawrence Timmons,PIT,30,RILB,2,5,2.5,11,2007,OLB,Florida State,73,234.0,4.66,25.0,35.0,123.0,6.89,4.32
82,2017,Lawrence Timmons,MIA,31,RLB,0,3,0.0,3,2007,OLB,Florida State,73,234.0,4.66,25.0,35.0,123.0,6.89,4.32
83,2016,Deion Jones,ATL,22,RILB,3,11,0.0,2,2016,OLB,LSU,73,222.0,4.59,20.0,33.0,120.0,7.0,4.0
84,2017,Deion Jones,ATL,23,MLB,3,10,1.0,0,2016,OLB,LSU,73,222.0,4.59,20.0,33.0,120.0,7.0,4.0
85,2018,Deion Jones,ATL,24,LLB/MLB,2,6,1.0,0,2016,OLB,LSU,73,222.0,4.59,20.0,33.0,120.0,7.0,4.0
86,2019,Deion Jones,ATL,25,MLB/RLB,1,5,0.0,4,2016,OLB,LSU,73,222.0,4.59,20.0,33.0,120.0,7.0,4.0
87,2020,Deion Jones,ATL,26,LLB,2,6,4.5,10,2016,OLB,LSU,73,222.0,4.59,20.0,33.0,120.0,7.0,4.0
88,2021,Deion Jones,ATL,27,LILB,0,6,2.0,4,2016,OLB,LSU,73,222.0,4.59,20.0,33.0,120.0,7.0,4.0
89,2022,Deion Jones,CLE,28,MLB,1,3,2.5,3,2016,OLB,LSU,73,222.0,4.59,20.0,33.0,120.0,7.0,4.0
90,2016,Logan Ryan,NWE,25,RCB,2,11,1.0,3,2013,CB,Rutgers,71,191.0,4.56,14.0,32.5,116.0,6.69,4.06
91,2017,Logan Ryan,TEN,26,RCB,0,11,0.0,0,2013,CB,Rutgers,71,191.0,4.56,14.0,32.5,116.0,6.69,4.06
92,2018,Logan Ryan,TEN,27,LCB,0,8,4.0,5,2013,CB,Rutgers,71,191.0,4.56,14.0,32.5,116.0,6.69,4.06
93,2019,Logan Ryan,TEN,28,LCB,4,18,4.5,8,2013,CB,Rutgers,71,191.0,4.56,14.0,32.5,116.0,6.69,4.06
94,2020,Logan Ryan,NYG,29,FS,1,9,1.0,4,2013,CB,Rutgers,71,191.0,4.56,14.0,32.5,116.0,6.69,4.06
95,2021,Logan Ryan,NYG,30,SS/FS,0,8,1.0,3,2013,CB,Rutgers,71,191.0,4.56,14.0,32.5,116.0,6.69,4.06
96,2022,Logan Ryan,TAM,31,S,1,3,0.0,0,2013,CB,Rutgers,71,191.0,4.56,14.0,32.5,116.0,6.69,4.06
97,2016,Vontaze Burfict,CIN,26,RLB,2,8,2.0,4,2012,ILB,Arizona State,73,248.0,5.0,20.0,30.0,104.0,7.0,4.0
98,2017,Vontaze Burfict,CIN,27,RLB,0,2,1.5,5,2012,ILB,Arizona State,73,248.0,5.0,20.0,30.0,104.0,7.0,4.0
99,2018,Vontaze Burfict,CIN,28,RLB,0,3,0.0,0,2012,ILB,Arizona State,73,248.0,5.0,20.0,30.0,104.0,7.0,4.0
100,2019,Vontaze Burfict,OAK,29,MLB,0,1,0.0,0,2012,ILB,Arizona State,73,248.0,5.0,20.0,30.0,104.0,7.0,4.0
101,2016,Thomas Davis,CAR,33,RLB,3,4,2.5,5,2005,S,Georgia,73,230.0,4.6,20.0,36.5,115.0,7.09,3.97
102,2017,Thomas Davis,CAR,34,RLB,0,0,2.5,7,2005,S,Georgia,73,230.0,4.6,20.0,36.5,115.0,7.09,3.97
103,2018,Thomas Davis,CAR,35,RLB,0,6,0.0,2,2005,S,Georgia,73,230.0,4.6,20.0,36.5,115.0,7.09,3.97
104,2019,Thomas Davis,LAC,36,LLB,0,2,1.0,2,2005,S,Georgia,73,230.0,4.6,20.0,36.5,115.0,7.09,3.97
105,2020,Thomas Davis,WAS,37,LB,0,1,0.0,0,2005,S,Georgia,73,230.0,4.6,20.0,36.5,115.0,7.09,3.97
106,2016,Byron Jones,DAL,24,FS,1,10,0.0,0,2015,CB,Connecticut,73,199.0,4.43,20.0,44.5,147.0,6.78,3.94
107,2017,Byron Jones,DAL,25,FS,1,5,0.0,2,2015,CB,Connecticut,73,199.0,4.43,20.0,44.5,147.0,6.78,3.94
108,2018,Byron Jones,DAL,26,RCB/LCB,0,14,0.0,0,2015,CB,Connecticut,73,199.0,4.43,20.0,44.5,147.0,6.78,3.94
109,2019,Byron Jones,DAL,27,RCB,0,6,0.0,0,2015,CB,Connecticut,73,199.0,4.43,20.0,44.5,147.0,6.78,3.94
110,2020,Byron Jones,MIA,28,LCB,2,4,0.0,0,2015,CB,Connecticut,73,199.0,4.43,20.0,44.5,147.0,6.78,3.94
111,2021,Byron Jones,MIA,29,LCB,0,10,0.0,0,2015,CB,Connecticut,73,199.0,4.43,20.0,44.5,147.0,6.78,3.94
112,2016,Avery Williamson,TEN,24,RILB,1,1,2.0,5,2014,ILB,Kentucky,73,246.0,4.66,25.0,30.5,120.0,7.11,4.07
113,2017,Avery Williamson,TEN,25,RILB,0,2,3.0,4,2014,ILB,Kentucky,73,246.0,4.66,25.0,30.5,120.0,7.11,4.07
114,2018,Avery Williamson,NYJ,26,RILB,1,6,3.0,4,2014,ILB,Kentucky,73,246.0,4.66,25.0,30.5,120.0,7.11,4.07
115,2020,Avery Williamson,2TM,28,LB/LILB,1,3,1.0,2,2014,ILB,Kentucky,73,246.0,4.66,25.0,30.5,120.0,7.11,4.07
116,2016,Keanu Neal,ATL,21,FS,0,8,0.0,0,2016,S,Florida,72,211.0,4.62,17.0,38.0,132.0,7.09,4.38
117,2017,Keanu Neal,ATL,22,FS,1,6,0.0,0,2016,S,Florida,72,211.0,4.62,17.0,38.0,132.0,7.09,4.38
118,2018,Keanu Neal,ATL,23,DB,0,0,0.0,0,2016,S,Florida,72,211.0,4.62,17.0,38.0,132.0,7.09,4.38
119,2019,Keanu Neal,ATL,24,DB,0,0,0.0,1,2016,S,Florida,72,211.0,4.62,17.0,38.0,132.0,7.09,4.38
120,2020,Keanu Neal,ATL,25,FS,1,2,1.0,3,2016,S,Florida,72,211.0,4.62,17.0,38.0,132.0,7.09,4.38
121,2021,Keanu Neal,DAL,26,MLB,0,0,1.0,2,2016,S,Florida,72,211.0,4.62,17.0,38.0,132.0,7.09,4.38
122,2022,Keanu Neal,TAM,27,S,1,4,0.5,5,2016,S,Florida,72,211.0,4.62,17.0,38.0,132.0,7.09,4.38
123,2016,K.J. Wright,SEA,27,RLB,0,5,4.0,8,2011,OLB,Mississippi State,75,246.0,4.71,20.0,32.0,120.0,7.26,4.46
124,2017,K.J. Wright,SEA,28,RLB,1,6,0.0,2,2011,OLB,Mississippi State,75,246.0,4.71,20.0,32.0,120.0,7.26,4.46
125,2018,K.J. Wright,SEA,29,RLB,0,3,0.0,0,2011,OLB,Mississippi State,75,246.0,4.71,20.0,32.0,120.0,7.26,4.46
126,2019,K.J. Wright,SEA,30,RLB,3,11,0.0,1,2011,OLB,Mississippi State,75,246.0,4.71,20.0,32.0,120.0,7.26,4.46
127,2020,K.J. Wright,SEA,31,ROLB,1,10,2.0,3,2011,OLB,Mississippi State,75,246.0,4.71,20.0,32.0,120.0,7.26,4.46
128,2021,K.J. Wright,LVR,32,RLB,0,0,0.0,0,2011,OLB,Mississippi State,75,246.0,4.71,20.0,32.0,120.0,7.26,4.46
129,2016,Luke Kuechly,CAR,25,MLB,1,6,2.0,4,2012,ILB,Boston Col.,75,242.0,4.58,27.0,38.0,123.0,6.92,4.12
130,2017,Luke Kuechly,CAR,26,MLB,3,6,1.5,5,2012,ILB,Boston Col.,75,242.0,4.58,27.0,38.0,123.0,6.92,4.12
131,2018,Luke Kuechly,CAR,27,MLB,1,6,2.0,5,2012,ILB,Boston Col.,75,242.0,4.58,27.0,38.0,123.0,6.92,4.12
132,2019,Luke Kuechly,CAR,28,RILB,2,12,0.0,5,2012,ILB,Boston Col.,75,242.0,4.58,27.0,38.0,123.0,6.92,4.12
133,2016,Morgan Burnett,GNB,27,SS,2,9,3.0,4,2010,S,Georgia Tech,73,209.0,4.51,16.0,,114.0,7.0,4.0
134,2017,Morgan Burnett,GNB,28,SS,0,3,0.0,1,2010,S,Georgia Tech,73,209.0,4.51,16.0,,114.0,7.0,4.0
135,2018,Morgan Burnett,PIT,29,DB,0,6,0.0,2,2010,S,Georgia Tech,73,209.0,4.51,16.0,,114.0,7.0,4.0
136,2019,Morgan Burnett,CLE,30,FS,1,2,2.0,3,2010,S,Georgia Tech,73,209.0,4.51,16.0,,114.0,7.0,4.0
137,2016,Derrick Johnson,KAN,34,LILB,1,3,1.0,2,2005,CB,Texas,71,197.0,4.43,18.0,,114.0,7.15,4.1
138,2016,Derrick Johnson,KAN,34,LILB,1,3,1.0,2,2005,OLB,Texas,75,242.0,4.52,20.0,37.5,120.0,7.2,3.87
139,2017,Derrick Johnson,KAN,35,RILB/LILB,0,7,0.0,0,2005,CB,Texas,71,197.0,4.43,18.0,,114.0,7.15,4.1
140,2017,Derrick Johnson,KAN,35,RILB/LILB,0,7,0.0,0,2005,OLB,Texas,75,242.0,4.52,20.0,37.5,120.0,7.2,3.87
141,2018,Derrick Johnson,OAK,36,LB,0,0,0.0,0,2005,CB,Texas,71,197.0,4.43,18.0,,114.0,7.15,4.1
142,2018,Derrick Johnson,OAK,36,LB,0,0,0.0,0,2005,OLB,Texas,75,242.0,4.52,20.0,37.5,120.0,7.2,3.87
143,2016,Eric Kendricks,MIN,24,MLB,1,9,2.5,4,2015,ILB,UCLA,72,232.0,4.61,19.0,38.0,124.0,7.0,4.0
144,2017,Eric Kendricks,MIN,25,MLB,1,6,1.0,6,2015,ILB,UCLA,72,232.0,4.61,19.0,38.0,124.0,7.0,4.0
145,2018,Eric Kendricks,MIN,26,MLB,2,7,1.0,1,2015,ILB,UCLA,72,232.0,4.61,19.0,38.0,124.0,7.0,4.0
146,2019,Eric Kendricks,MIN,27,MLB,0,12,0.5,2,2015,ILB,UCLA,72,232.0,4.61,19.0,38.0,124.0,7.0,4.0
147,2020,Eric Kendricks,MIN,28,MLB,3,6,0.0,1,2015,ILB,UCLA,72,232.0,4.61,19.0,38.0,124.0,7.0,4.0
148,2021,Eric Kendricks,MIN,29,MLB,2,4,5.0,5,2015,ILB,UCLA,72,232.0,4.61,19.0,38.0,124.0,7.0,4.0
149,2022,Eric Kendricks,MIN,30,LB,0,6,1.0,2,2015,ILB,UCLA,72,232.0,4.61,19.0,38.0,124.0,7.0,4.0
150,2016,Kiko Alonso,MIA,26,MLB,2,4,0.0,6,2013,ILB,Oregon,75,238.0,4.74,20.0,,114.0,7.0,4.0
151,2017,Kiko Alonso,MIA,27,LOLB,0,1,1.0,5,2013,ILB,Oregon,75,238.0,4.74,20.0,,114.0,7.0,4.0
152,2018,Kiko Alonso,MIA,28,LLB,3,6,0.0,3,2013,ILB,Oregon,75,238.0,4.74,20.0,,114.0,7.0,4.0
153,2019,Kiko Alonso,NOR,29,LB,0,1,0.0,2,2013,ILB,Oregon,75,238.0,4.74,20.0,,114.0,7.0,4.0
154,2016,Nigel Bradham,PHI,27,LLB,1,5,2.0,3,2012,OLB,Florida State,74,241.0,4.56,24.0,37.0,121.0,7.18,4.37
155,2017,Nigel Bradham,PHI,28,RLB,0,8,1.0,3,2012,OLB,Florida State,74,241.0,4.56,24.0,37.0,121.0,7.18,4.37
156,2018,Nigel Bradham,PHI,29,RLB,0,4,2.0,4,2012,OLB,Florida State,74,241.0,4.56,24.0,37.0,121.0,7.18,4.37
157,2019,Nigel Bradham,PHI,30,MLB,1,5,0.0,1,2012,OLB,Florida State,74,241.0,4.56,24.0,37.0,121.0,7.18,4.37
158,2016,Karlos Dansby,CIN,35,LLB,0,6,1.0,2,2004,OLB,Auburn,75,251.0,4.58,20.0,,114.0,7.0,4.0
159,2017,Karlos Dansby,ARI,36,RILB,1,4,1.0,5,2004,OLB,Auburn,75,251.0,4.58,20.0,,114.0,7.0,4.0
160,2016,Harrison Smith,MIN,27,FS,0,2,2.0,3,2012,S,Notre Dame,74,213.0,4.54,19.0,34.0,122.0,6.63,4.12
161,2017,Harrison Smith,MIN,28,FS,5,12,1.5,3,2012,S,Notre Dame,74,213.0,4.54,19.0,34.0,122.0,6.63,4.12
162,2018,Harrison Smith,MIN,29,FS,3,6,3.0,5,2012,S,Notre Dame,74,213.0,4.54,19.0,34.0,122.0,6.63,4.12
163,2019,Harrison Smith,MIN,30,SS,3,11,1.0,2,2012,S,Notre Dame,74,213.0,4.54,19.0,34.0,122.0,6.63,4.12
164,2020,Harrison Smith,MIN,31,SS,5,10,0.5,5,2012,S,Notre Dame,74,213.0,4.54,19.0,34.0,122.0,6.63,4.12
165,2021,Harrison Smith,MIN,32,SS,1,7,3.0,5,2012,S,Notre Dame,74,213.0,4.54,19.0,34.0,122.0,6.63,4.12
166,2022,Harrison Smith,MIN,33,S,5,10,0.0,0,2012,S,Notre Dame,74,213.0,4.54,19.0,34.0,122.0,6.63,4.12
167,2016,T.J. Ward,DEN,30,SS,1,8,1.0,5,2010,S,Oregon,70,211.0,4.56,19.0,34.0,121.0,7.0,4.0
168,2017,T.J. Ward,TAM,31,DB,0,3,0.0,0,2010,S,Oregon,70,211.0,4.56,19.0,34.0,121.0,7.0,4.0
169,2016,Vernon Hargreaves III,TAM,21,LCB,1,9,0.0,0,2016,CB,Florida,70,204.0,4.5,15.0,39.0,130.0,7.0,3.98
170,2017,Vernon Hargreaves III,TAM,22,LCB,0,5,0.0,0,2016,CB,Florida,70,204.0,4.5,15.0,39.0,130.0,7.0,3.98
171,2018,Vernon Hargreaves III,TAM,23,DB,0,1,0.0,0,2016,CB,Florida,70,204.0,4.5,15.0,39.0,130.0,7.0,3.98
172,2019,Vernon Hargreaves III,2TM,24,DB/RCB,1,6,0.0,0,2016,CB,Florida,70,204.0,4.5,15.0,39.0,130.0,7.0,3.98
173,2020,Vernon Hargreaves III,HOU,25,RCB,1,7,0.0,0,2016,CB,Florida,70,204.0,4.5,15.0,39.0,130.0,7.0,3.98
174,2021,Vernon Hargreaves III,2TM,26,DB,1,3,0.0,0,2016,CB,Florida,70,204.0,4.5,15.0,39.0,130.0,7.0,3.98
175,2016,Lavonte David,TAM,26,RLB,1,4,5.0,8,2012,OLB,Nebraska,73,233.0,4.57,19.0,36.5,119.0,7.28,4.22
176,2017,Lavonte David,TAM,27,RLB,0,1,0.0,3,2012,OLB,Nebraska,73,233.0,4.57,19.0,36.5,119.0,7.28,4.22
177,2018,Lavonte David,TAM,28,RLB,0,2,3.5,7,2012,OLB,Nebraska,73,233.0,4.57,19.0,36.5,119.0,7.28,4.22
178,2019,Lavonte David,TAM,29,RILB,1,7,1.0,7,2012,OLB,Nebraska,73,233.0,4.57,19.0,36.5,119.0,7.28,4.22
179,2020,Lavonte David,TAM,30,RILB,1,6,1.5,3,2012,OLB,Nebraska,73,233.0,4.57,19.0,36.5,119.0,7.28,4.22
180,2021,Lavonte David,TAM,31,RILB,0,3,2.0,4,2012,OLB,Nebraska,73,233.0,4.57,19.0,36.5,119.0,7.28,4.22
181,2022,Lavonte David,TAM,32,LB,0,5,3.0,3,2012,OLB,Nebraska,73,233.0,4.57,19.0,36.5,119.0,7.28,4.22
182,2016,Devin McCourty,NWE,29,FS,1,7,0.0,0,2010,CB,Rutgers,71,193.0,4.38,16.0,36.0,126.0,6.7,4.07
183,2017,Devin McCourty,NWE,30,FS,1,5,1.0,1,2010,CB,Rutgers,71,193.0,4.38,16.0,36.0,126.0,6.7,4.07
184,2018,Devin McCourty,NWE,31,FS,1,4,0.0,0,2010,CB,Rutgers,71,193.0,4.38,16.0,36.0,126.0,6.7,4.07
185,2019,Devin McCourty,NWE,32,FS,5,7,0.0,0,2010,CB,Rutgers,71,193.0,4.38,16.0,36.0,126.0,6.7,4.07
