,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
174,00-0033854,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,42,123.0,1,0.0,0.0,10.0,-6.272083778888103,0,20,26,104.0,0,0.0,0.0,-11.0,124.0,5.0,-12.237651202012785,0,0.9888888888888883,0.7129796619928199,-0.036451269112735094,1.0439536046103153,0.0,28.7,48.7,11,0.06649616368286446,-0.0037199864727764627,0.09679937548790007,0.09676825634607551,0.04262295081967213,0.0,0.04672897196261682,0.041666666666666664,0.021311475409836064,0.0340983606557377,0.2659846547314578,0.06277391080175304
175,00-0033856,2022,REG,0,1,0.0,0,1.0,0.0,0.0,0,0,16.0,0.0,0.0,-4.726016435190104,0,0.0,0.0,189,668.0,3,0.0,0.0,39.0,-37.12463744228285,0,73,83,523.0,3,0.0,0.0,-49.0,563.0,26.0,13.675018606606653,0,-56.616774891774895,1.856190727157182,-0.18525702202070277,2.6546061753212813,0.0,153.1,226.1,16,0.1172316384180791,-0.010414452709883103,0.2554446460980036,0.16751589545921217,0.11622222222222223,0.125,0.11255411255411256,0.11372549019607843,0.12061111111111111,0.11797777777777779,0.7387005649717514,0.15494791666666666
176,00-0033857,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,78,101,933.0,3,3.0,2.0,742.0,465.0,47.0,49.5891622691533,0,26.5783759123271,2.7129969503573266,2.7593763249357974,6.001058852991048,0.0,107.3,185.3,16,0.16369529983792544,0.1706139342377558,0.1715234230911103,0.3820340971470928,0.18959561064824224,0.07894736842105263,0.1828793774319066,0.1694915254237288,0.13427148953464743,0.16746596220280432,1.5121555915721232,0.10596806661176686
177,00-0033858,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,5.0,0,1.0,0.0,1.0,0.7029989284928888,0,27,38,245.0,0,0.0,0.0,116.0,200.0,9.0,0.5408437211881392,0,30.17829830987726,1.2432858857186542,0.442492057074259,2.1746732685299626,0.0,25.0,52.0,12,0.09844559585492228,0.03961748633879782,0.1520912547528517,0.17936238285342168,0.09203606311044328,0.0,0.07964601769911504,0.07317073170731707,0.04601803155522164,0.07362885048835463,0.6347150259067358,0.05824503237079684
178,00-0033869,2022,REG,117,180,1252.0,4,5.0,11.0,68.0,0,0,1750.0,382.0,65.0,7.730268376912257,1,5.546167196892571,0.8342787336325118,19,38.0,2,0.0,0.0,7.0,-3.26305165985832,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,73.88,73.88,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15011378413524057
179,00-0033871,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,32,64,536.0,2,0.0,0.0,861.0,109.0,28.0,11.822724843409087,0,8.520307760504943,1.795800248137823,3.1936323294877003,4.929243002848124,0.0,65.60000000000001,97.6,13,0.12698412698412698,0.22082585278276481,0.07310529845741114,0.36713687270240236,0.1708638826904686,0.2,0.18666666666666668,0.1875,0.1854319413452343,0.17669110615237488,1.0634920634920635,0.09678890894305718
180,00-0033873,2022,REG,435,648,5250.0,41,12.0,26.0,188.0,1,0,4692.0,2853.0,272.0,191.97220477679906,2,19.28257040268018,2.9737739454728382,61,358.0,4,4.0,0.0,25.0,23.256492984170187,1,1,1,6.0,0,0.0,0.0,-9.0,15.0,0.0,0.3510209037922323,0,0.0,0.024390243902439025,-0.02903225806451613,0.016262785208497253,0.0,416.4,417.4,17,0.0015360983102918587,-0.0019193857965451055,0.005257623554153523,0.0007686388282017035,0.001142857142857143,0.0,0.0,0.0,0.0005714285714285715,0.0009142857142857144,0.009216589861751152,0.22452931683700914
181,00-0033879,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10,23,145.0,2,0.0,0.0,253.0,60.0,6.0,-2.043023224404952,0,8.469605213626952,0.7156302054540594,1.1213019612652113,1.8583566810667371,0.0,26.5,36.5,11,0.06199460916442048,0.09472107824784724,0.049301561216105176,0.16876877634490853,0.06393298059964726,0.2,0.0625,0.07547169811320754,0.13196649029982363,0.09114638447971782,0.3908355795148248,0.04956410743868988
182,00-0033881,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,13.0,0,0.0,0.0,1.0,0.47202901676064357,0,73,98,766.0,4,0.0,0.0,614.0,465.0,33.0,34.6329223110723,1,24.39534508647241,2.8591812935111194,2.609791880226911,6.115626256425516,0.0,103.9,176.9,17,0.1644295302013423,0.1404070432197576,0.2295162882527147,0.3589699298778195,0.18466730954676952,0.16,0.15865384615384615,0.15879828326180256,0.17233365477338475,0.17973384763741562,1.2852348993288591,0.11775121145960912
183,00-0033885,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,-8.0,0,0.0,0.0,0.0,-2.48257483902853,0,58,80,628.0,4,1.0,1.0,522.0,338.0,36.0,24.657573101232835,0,22.406049697670518,2.642232659813305,2.1691529726726606,5.48175607059082,0.0,84.0,142.0,14,0.17391304347826086,0.1409667836889009,0.2433405327573794,0.37364299216851204,0.20330203949498218,0.23529411764705882,0.23376623376623376,0.23391812865497075,0.21929807857102052,0.20970045512539753,1.3652173913043477,0.12351477828227475
