season,player_name,Tm,Age,Pos,Int,PD,Sk,QBHits
2016,Kwon Alexander,TAM,22,MLB,1,7,3,7
2016,Landon Collins,NYG,22,SS,5,13,4,5
2016,Telvin Smith,JAX,25,LLB,2,8,1,2
2016,Tahir Whitehead,DET,26,MLB,0,5,0,0
2016,Alec Ogletree,LAR,25,MLB,2,11,0,3
2016,Zach Brown,BUF,27,LILB,1,4,4,8
2016,Paul Posluszny,JAX,32,MLB,1,3,1.5,3
2016,Johnathan Cyprien,JAX,26,SS,0,4,1,1
2016,Christian Kirksey,CLE,24,RILB,0,3,2.5,7
2016,Antoine Bethea,SFO,32,SS,1,3,0,1
2016,Sean Lee,DAL,30,RLB,0,1,0,2
2016,Zach Orr,BAL,24,RILB,3,5,0,1
2016,Mark Barron,LAR,27,LLB,2,8,1,3
2016,Mason Foster,WAS,27,RILB,0,3,1,5
2016,Jerrell Freeman,CHI,30,LILB,0,5,0,2
2016,Malcolm Smith,OAK,27,RLB,1,3,0,2
2016,Bobby Wagner,SEA,26,MLB,1,3,4.5,18
2016,Preston Brown,BUF,24,RILB,0,1,1,3
2016,Jamie Collins,2TM,27,LLB/ROLB,2,3,3,8
2016,Bradley McDougald,TAM,26,FS,2,10,0,0
2016,Benardrick McKinney,HOU,24,RILB,0,2,5,11
2016,Tony Jefferson,ARI,24,SS,0,5,2,4
2016,Lawrence Timmons,PIT,30,RILB,2,5,2.5,11
2016,Deion Jones,ATL,22,RILB,3,11,0,2
2016,Logan Ryan,NWE,25,RCB,2,11,1,3
2016,Tavon Wilson,DET,26,SS,2,2,1,1
2016,Vontaze Burfict,CIN,26,RLB,2,8,2,4
2016,Thomas Davis,CAR,33,RLB,3,4,2.5,5
2016,Byron Jones,DAL,24,FS,1,10,0,0
2016,Avery Williamson,TEN,24,RILB,1,1,2,5
2016,Rodney McLeod,PHI,26,FS,3,7,1,0
2016,Keanu Neal,ATL,21,FS,0,8,0,0
2016,K.J. Wright,SEA,27,RLB,0,5,4,8
2016,Luke Kuechly,CAR,25,MLB,1,6,2,4
2016,Craig Robertson,NOR,28,LLB,1,4,1,6
2016,Morgan Burnett,GNB,27,SS,2,9,3,4
2016,Derrick Johnson,KAN,34,LILB,1,3,1,2
2016,Eric Kendricks,MIN,24,MLB,1,9,2.5,4
2016,Kiko Alonso,MIA,26,MLB,2,4,0,6
2016,Nigel Bradham,PHI,27,LLB,1,5,2,3
2016,Karlos Dansby,CIN,35,LLB,0,6,1,2
2016,Harrison Smith,MIN,27,FS,0,2,2,3
2016,T.J. Ward,DEN,30,SS,1,8,1,5
2016,Vernon Hargreaves III,TAM,21,LCB,1,9,0,0
2016,Lavonte David,TAM,26,RLB,1,4,5,8
2016,Devin McCourty,NWE,29,FS,1,7,0,0
2016,Deone Bucannon,ARI,24,LILB,0,4,0,1
2016,Kurt Coleman,CAR,28,SS,4,7,1,2
2016,Harold Jones-Quartey,CHI,23,SS,1,5,0,0
2016,Jatavis Brown,SDG,22,LILB,0,6,3.5,3
2016,Todd Davis,DEN,24,ROLB/LILB,0,3,0.5,4
2016,Marcus Cooper,ARI,26,RCB,4,11,0,0
2016,David Harris,NYJ,32,RILB,0,2,0.5,2
2016,Daryl Worley,CAR,21,RCB,1,9,1,1
2016,Mike Adams,IND,35,SS,2,2,0,2
2016,Eric Berry,KAN,28,SS,4,9,0,0
2016,Bashaud Breeland,WAS,24,LCB,3,11,1,1
2016,Jonathan Casillas,NYG,29,RLB,0,8,1.5,3
2016,Ha Ha Clinton-Dix,GNB,24,FS,5,7,0.5,1
2016,Corey Graham,BUF,31,FS,1,9,1,1
2016,Von Miller,DEN,27,LOLB,0,3,13.5,24
2016,Ricardo Allen,ATL,25,SS,2,3,0,0
2016,Vonn Bell,NOR,22,DB,0,4,1,4
2016,Barry Church,DAL,28,SS,2,4,0,2
2016,William Compton,WAS,27,LILB,1,5,0,2
2016,Ramik Wilson,KAN,24,RILB,1,3,0,0
2016,Nick Bellore,SFO,27,LILB,1,5,1,3
2016,Ronald Darby,BUF,22,LCB,0,12,0,1
2016,Jason McCourty,TEN,29,RCB,2,12,0,0
2016,Chris Conte,TAM,27,SS,2,5,0,0
2016,Demario Davis,CLE,27,LILB,0,2,2,5
2016,Kevin Minter,ARI,26,RILB,0,2,3.5,7
2016,Steven Nelson,KAN,23,RCB,0,16,0,1
2016,Lardarius Webb,BAL,31,FS,1,5,1,1
2016,Shawn Williams,CIN,25,SS,3,5,1,8
2016,Jordan Hicks,PHI,24,MLB,5,11,1,5
2016,D.J. Swearinger,ARI,25,DB,3,8,2,3
2016,Adrian Amos,CHI,23,FS,0,4,0,0
2016,Chris Harris Jr.,DEN,27,RCB,2,11,0,0
2016,Jake Ryan,GNB,24,LILB,0,3,0,3
2016,DeShawn Shead,SEA,27,RCB,1,14,0,0
2016,Lorenzo Alexander,BUF,33,ROLB,1,6,12.5,22
2016,David Amerson,OAK,25,LCB,2,16,0,0
2016,Jairus Byrd,NOR,30,FS,2,3,0,0
2016,C.J. Mosley,BAL,24,LILB,4,8,0,4
2016,Denzel Perryman,SDG,24,RILB,1,2,2,2
2016,Sean Davis,PIT,23,SS,1,5,1.5,4
2016,Damon Harrison,NYG,28,LDT,0,1,2.5,4
2016,Gerald Hodges,SFO,25,RILB,2,2,3,4
2016,Mike Mitchell,PIT,29,FS,1,9,0,1
2016,Glover Quin,DET,30,FS,2,5,0,1
2016,Jalen Ramsey,JAX,22,RCB,2,14,0,1
2016,Ryan Shazier,PIT,24,LILB,3,9,3.5,7
2016,Daniel Sorensen,KAN,26,DB,3,6,1,3
2016,Darian Stewart,DEN,28,FS,3,6,0,2
2016,Joe Thomas,GNB,25,LILB,1,5,0,2
2016,Duke Ihenacho,WAS,27,FS,0,2,0,1
2016,Adam Jones,CIN,33,RCB,1,7,0,1
2016,Khalil Mack,OAK,25,RDE,1,3,11,26
2016,Keenan Robinson,NYG,27,MLB,0,7,0,1
2016,Brandon Carr,DAL,30,LCB,1,9,0,1
2016,Korey Toomer,SDG,28,LILB,0,2,1,3
2016,Artie Burns,PIT,21,LCB,3,13,0,0
2016,Patrick Chung,NWE,29,SS,1,3,1,1
2016,D'Qwell Jackson,IND,33,LILB,0,3,1,3
2016,Rashaan Melvin,IND,27,LCB,0,7,0,0
2016,Jalen Mills,PHI,22,DB,0,7,0,0
2016,Josh Norman,WAS,29,RCB,3,19,0,1
2016,Ron Parker,KAN,29,FS,1,12,0,0
2016,Kam Chancellor,SEA,28,SS,2,8,0,0
2016,Brent Grimes,TAM,33,RCB,4,24,0,0
2016,Casey Hayward,SDG,27,RCB,7,20,0,0
2016,Kareem Jackson,HOU,28,DB,1,4,0,0
2016,Vincent Rey,CIN,29,LLB,1,7,0,0
2016,Kenny Vaccaro,NOR,25,SS,2,5,1,8
2016,Isa Abdul-Quddus,MIA,27,SS,2,5,1,5
2016,Robert Alford,ATL,28,LCB,2,19,0,0
2016,Clayton Geathers,IND,24,FS,0,5,0,0
2016,Ladarius Gunter,GNB,24,RCB,0,12,0,0
2016,Lamarcus Joyner,LAR,26,DB,0,5,1,2
2016,T.J. McDonald,LAR,25,SS,2,6,1,4
2016,Reggie Nelson,OAK,33,FS,5,12,0,1
2016,Tramaine Brock,SFO,28,LCB,1,14,0,0
2016,George Iloka,CIN,26,FS,3,7,0,0
2016,Dwight Lowery,SDG,30,FS,1,9,0,0
2016,Nathan Stupar,NOR,28,MLB,1,2,1,1
2016,Danny Trevathan,CHI,26,RILB,0,4,1,1
2016,Donte Whitner,WAS,31,SS,0,0,0,1
2016,A.J. Bouye,HOU,25,RCB,1,16,1,1
2016,Malcolm Butler,NWE,26,LCB,4,17,1,1
2016,Eric Reid,SFO,25,FS,1,5,0,5
2016,Eric Weddle,BAL,31,SS,4,13,1,1
2016,James Bradberry,CAR,23,LCB,2,10,0,0
2016,Ross Cockrell,PIT,25,RCB,0,14,0,1
2016,E.J. Gaines,LAR,24,RCB,0,7,0,1
2016,Micah Hyde,GNB,26,DB,3,9,1,2
2016,Bruce Irvin,OAK,29,LLB,0,1,7,25
2016,Edwin Jackson,IND,25,RILB,0,0,2,2
2016,Malcolm Jenkins,PHI,29,SS,3,9,1,3
2016,Trumaine Johnson,LAR,26,LCB,1,11,0,0
2016,Blake Martinez,GNB,22,RILB,1,4,1,1
2016,Corey Nelson,DEN,24,RILB,0,5,0,2
2016,Keith Tandy,TAM,27,SS,4,9,0,0
2016,Jaquiski Tartt,SFO,24,FS,0,3,1,3
2016,Prince Amukamara,JAX,27,LCB,0,6,0,0
2016,Melvin Ingram,SDG,27,LOLB,0,5,8,19
2016,Nevin Lawson,DET,25,RCB,0,9,0,0
2016,Jamar Taylor,CLE,26,RCB,3,13,0,1
2016,Olivier Vernon,NYG,26,RDE,0,0,8.5,23
2016,Kevin Byard,TEN,23,FS,0,4,1,5
2016,Darron Lee,NYJ,22,LILB,0,3,1,3
2016,Tony Lippett,MIA,24,RCB,4,10,0,0
2016,Patrick Peterson,ARI,26,LCB,3,6,0,0
2016,Tracy Porter,CHI,30,LCB,2,9,0,0
2016,Calvin Pryor,NYJ,24,SS,0,6,0,1
2016,Andrew Sendejo,MIN,29,SS,2,4,0.5,1
2016,Jackrabbit Jenkins,NYG,28,RCB,3,18,1,1
2016,Karl Joseph,OAK,23,SS,1,6,0,0
2016,Sterling Moore,NOR,26,RCB,2,13,0,0
2016,Xavier Rhodes,MIN,26,RCB,5,11,0,0
2016,Michael Wilhoite,SFO,30,RILB,0,2,0.5,1
2016,Shareece Wright,BAL,29,LCB,0,6,0,0
2016,Tavon Young,BAL,22,LCB,2,8,0,1
2016,Jahleel Addae,SDG,26,SS,1,4,0,0
2016,DeForest Buckner,SFO,22,LDE,0,1,6,18
2016,Byron Maxwell,MIA,28,LCB,2,15,0,0
2016,Brian Poole,ATL,24,DB,1,9,1,3
2016,Darrelle Revis,NYJ,31,RCB,1,5,0,0
2016,Darius Slay,DET,25,LCB,2,13,1,1
2016,Michael Thomas,MIA,26,FS,0,1,1,3
2016,Jimmie Ward,SFO,25,RCB,1,12,1,1
2016,Phillip Gaines,KAN,25,RCB,1,7,0,0
2016,William Gay,PIT,31,LCB,1,7,1,0
2016,Stephon Gilmore,BUF,26,RCB,5,12,0,0
2016,Spencer Paysinger,MIA,28,LB,0,3,0,2
2016,Daimion Stafford,TEN,25,S,1,2,1,2
2016,Trae Waynes,MIN,24,DB,3,11,0,0
2016,Kyle Williams,BUF,33,LDE,0,0,5,15
2016,Wesley Woodyard,TEN,30,LILB,1,5,2,4
2016,Eli Apple,NYG,21,LCB,1,7,0,0
2016,Ahmad Brooks,SFO,32,LOLB,0,4,6,8
2016,Nolan Carroll,PHI,29,RCB,1,11,0,0
2016,Markus Golden,ARI,25,DE,0,1,12.5,22
2016,Brandon Graham,PHI,28,LDE,0,1,5.5,22
2016,Dominique Rodgers-Cromartie,NYG,30,LCB,6,21,1,1
2016,Ndamukong Suh,MIA,29,LDT,0,6,5,17
2016,Anthony Brown,DAL,23,RCB,1,8,0,0
2016,Jadeveon Clowney,HOU,23,RDE,0,2,6,17
2016,Ken Crawley,NOR,23,RCB,0,8,0,0
2016,Quandre Diggs,DET,23,DB,0,1,0,1
2016,Neville Hewitt,MIA,23,RLB,0,1,1,1
2016,Cameron Jordan,NOR,27,RDE,0,6,7.5,24
2016,Devon Kennard,NYG,25,LLB,0,1,1,5
2016,Cre'von LeBlanc,CHI,22,RCB,2,10,0,1
2016,Briean Boddy-Calhoun,CLE,23,SS,3,11,1,1
2016,Marcus Gilchrist,NYJ,28,FS,2,3,0,0
2016,James Harrison,PIT,38,ROLB,1,1,5,9
2016,Anthony Hitchens,DAL,24,MLB,0,1,1.5,5
2016,Brandon Marshall,DEN,27,RILB,0,3,0,0
2016,Quinten Rollins,GNB,24,DB,1,8,0,1
2016,Orlando Scandrick,DAL,29,DB,1,8,2,2
2016,Buster Skrine,NYJ,27,LCB,1,6,1,1
2016,Shaq Thompson,CAR,22,LLB,1,5,0,2
2016,Maurice Alexander,LAR,25,FS,2,4,1,1
2016,Tre Boston,CAR,24,FS,2,7,2,4
2016,Brian Cushing,HOU,29,LILB,0,1,0,2
2016,Quintin Demps,HOU,31,SS,6,9,0,1
2016,Chandler Jones,ARI,26,LOLB,0,3,11,21
2016,Johnathan Joseph,HOU,32,LCB,0,9,0,0
2016,Captain Munnerlyn,MIN,28,DB,0,3,0,0
2016,Brian Orakpo,TEN,30,ROLB,0,4,10.5,19
2016,Sheldon Richardson,NYJ,26,LOLB,0,2,1.5,9
2016,Perry Riley,OAK,28,MLB,0,1,0,0
2016,Josh Shaw,CIN,24,DB,1,3,0,0
2016,Richard Sherman,SEA,28,LCB,4,13,0,0
2016,Derek Wolfe,DEN,26,LDE,0,4,5.5,19
2016,Anthony Barr,MIN,24,RLB,0,4,2,8
2016,Justin Bethel,ARI,26,DB,1,6,0,0
2016,Perrish Cox,TEN,29,LCB,3,11,0,0
2016,William Gholston,TAM,25,RDE,0,0,3,7
2016,Joe Haden,CLE,27,LCB,3,11,0,0
2016,Linval Joseph,MIN,28,RDT,0,0,4,17
2016,Sean Spence,TEN,26,LILB,0,3,3,5
2016,J.J. Wilcox,DAL,25,DB,1,6,0,0
2016,Vince Williams,PIT,27,LB,0,0,2,6
2016,Aaron Donald,LAR,25,LDT,0,5,8,31
2016,Kyle Emanuel,SDG,25,ROLB,0,1,0.5,4
2016,Everson Griffen,MIN,29,RDE,0,1,8,22
2016,Akiem Hicks,CHI,27,LDE,0,2,7,17
2016,Cory James,OAK,23,MLB,0,0,0,0
2016,Jeremy Lane,SEA,26,DB,0,3,0,0
2016,Whitney Mercilus,HOU,26,LOLB,0,1,7.5,22
2016,Leonard Williams,NYJ,22,LDE,0,0,7,19
2016,Antwon Blake,TEN,26,DB,0,5,0,0
2016,De'Vondre Campbell,ATL,23,ROLB,1,7,0,0
2016,Troy Hill,LAR,25,DB,0,2,0,0
2016,Dre Kirkpatrick,CIN,27,LCB,3,10,0,0
2016,Nick Perry,GNB,26,ROLB,1,4,11,16
2016,Marcus Peters,KAN,23,LCB,6,20,0,0
2016,Jason Pierre-Paul,NYG,27,LDE,0,8,7,16
2016,Damarious Randall,GNB,24,LCB,3,9,0,0
2016,Da'Norris Searcy,TEN,28,SS,1,6,0,0
2016,Rafael Bush,DET,29,DB,2,3,1,1
2016,Calais Campbell,ARI,30,LDE,1,6,8,21
2016,Ibraheim Campbell,CLE,24,SS,0,0,0,1
2016,Vontae Davis,IND,28,RCB,1,10,0,0
2016,Dannell Ellerbe,NOR,31,LLB,0,2,4,8
2016,Tashaun Gipson,JAX,26,FS,1,2,0,0
2016,Danielle Hunter,MIN,22,DE,0,1,12.5,19
2016,Nick Kwiatkoski,CHI,23,LILB,0,2,1,1
2016,Albert McClellan,BAL,30,ROLB,0,0,1,2
2016,Rontez Miles,NYJ,28,DB,0,0,0,2
2016,David Parry,IND,24,NT,0,0,3,8
2016,Bradley Roby,DEN,24,DB,2,8,1,0
2016,Brandon Williams,BAL,27,NT,0,1,1,2
2016,Tyrann Mathieu,ARI,24,FS,1,4,1,1
2016,Bobby McCain,MIA,23,DB,1,6,1,2
2016,Antonio Morrison,IND,22,LB,0,0,0,1
2016,Terence Newman,MIN,38,LCB,1,8,0,0
2016,Shane Ray,DEN,23,LILB,0,0,8,21
2016,Sean Smith,OAK,29,RCB,2,11,0,0
2016,Muhammad Wilkerson,NYJ,27,RDE,0,3,4.5,12
2016,Vic Beasley,ATL,24,LILB,0,2,15.5,16
2016,Jared Crick,DEN,27,RDE,0,6,3,13
2016,Darqueze Dennard,CIN,25,DB,0,1,0,1
2016,Kendall Fuller,WAS,21,DB,0,2,0,4
2016,T.J. Green,IND,21,DB,0,2,0,3
2016,Andre Hal,HOU,24,FS,2,7,1,1
2016,D.J. Hayden,OAK,26,DB,0,6,0,0
2016,Kemal Ishmael,ATL,25,DB,0,2,0,0
2016,Michael Johnson,CIN,29,RDE,0,3,3.5,10
2016,Derrick Kindred,CLE,23,SS,0,5,0,0
2016,Leodis McKelvin,PHI,31,LCB,2,16,0,0
2016,Nickell Robey-Coleman,BUF,24,DB,2,7,0,0
2016,Danny Shelton,CLE,23,NT,0,0,1.5,6
2016,John Simon,HOU,26,ROLB,0,2,3.5,10
2016,Aqib Talib,DEN,30,LCB,3,12,0,1
2016,Kyle Van Noy,2TM,25,LB/RLB,1,3,1,2
2016,Andrew Adams,NYG,24,FS,1,5,0,1
2016,Bryce Callahan,CHI,25,DB,0,5,0,1
2016,Jurrell Casey,TEN,27,RDE,0,5,5,18
2016,William Hayes,LAR,31,LDE,0,0,5,16
2016,Dont'a Hightower,NWE,26,MLB,0,2,2.5,8
2016,Jerry Hughes,BUF,28,LOLB,0,3,6,11
2016,Reshad Jones,MIA,28,FS,1,4,0.5,0
2016,Brice McCain,TEN,30,DB,2,10,0,0
2016,Erik Walden,IND,31,LOLB,0,0,11,17
2016,Carlos Dunlap,CIN,27,LDE,0,15,8,23
2016,Anthony Harris,MIN,25,DB,0,1,0,0
2016,Ed Reynolds,CLE,25,FS,0,1,1,3
2016,Kelvin Sheppard,NYG,28,MLB,0,2,0,0
2016,Kawann Short,CAR,27,RDT,0,3,6,17
2016,Frank Zombo,KAN,29,ROLB,0,2,1,4
2016,Tyson Alualu,JAX,29,RDE,0,0,2.5,6
2016,Chris Baker,WAS,29,RDE,0,2,3.5,10
2016,Joey Bosa,SDG,21,LDE,0,0,10.5,21
2016,Nick Fairley,NOR,28,RDT,0,0,6.5,22
2016,Johnathan Hankins,NYG,24,RDT,0,0,3,10
2016,Xavien Howard,MIA,23,RCB,0,6,0,0
2016,Jarvis Jones,PIT,27,ROLB,1,3,1,6
2016,Trent Murphy,WAS,26,LB,0,1,9,25
2016,Jordan Poyer,CLE,25,FS,0,2,0,0
2016,Jimmy Smith,BAL,28,RCB,0,4,0,0
2016,Stephon Tuitt,PIT,23,RDE,0,3,4,14
2016,Marcus Williams,NYJ,25,DB,2,6,1,1
2016,Jalen Collins,ATL,23,RCB,2,10,0,0
2016,Malik Jackson,JAX,26,LDT,0,4,6.5,19
2016,Corey Liuget,SDG,26,RDE/LDE,0,3,0,7
2016,Darryl Morris,IND,26,DB,1,6,0,2
2016,Emmanuel Ogbah,CLE,23,RDE/LOLB,0,3,5.5,16
2016,Daryl Smith,TAM,34,LLB,1,1,0,0
2016,Terrell Suggs,BAL,34,LOLB,0,4,8,16
2016,Tramon Williams,CLE,33,LCB,1,5,0,1
2016,Robert Blanton,BUF,27,DB,0,0,0,0
2016,Andre Branch,MIA,27,RDE,0,1,5.5,12
2016,Darius Butler,IND,30,FS,3,7,0,1
2016,Fletcher Cox,PHI,26,LDT,0,2,6.5,14
2016,Michael Griffin,CAR,31,FS,0,0,0,0
2016,Damien Wilson,DAL,23,LLB,0,1,0.5,2
2016,Alan Branch,NWE,32,LDT,0,3,1.5,2
2016,Josh Bynes,DET,27,LLB/RLB,0,4,0,0
2016,Chad Greenway,MIN,33,LLB,1,1,0,0
2016,Abry Jones,JAX,25,RDT,0,1,0,0
2016,Ryan Kerrigan,WAS,28,ROLB,0,2,11,24
2016,Gerald McCoy,TAM,28,LDT,0,5,7,14
2016,Jamie Meder,CLE,25,LDE,0,1,1,6
2016,Jerraud Powers,BAL,29,DB,2,5,1,1
2016,Trevor Williams,SDG,23,LCB,0,5,0,0
2016,Will Blackmon,WAS,32,FS,1,3,0.5,2
2016,Tyvon Branch,ARI,30,DB,0,4,0,1
2016,Frank Clark,SEA,23,LDE,0,0,10,18
2016,Mike Daniels,GNB,27,RDE,0,1,4,11
2016,Dee Ford,KAN,25,LOLB,0,2,10,17
2016,Roman Harper,NOR,34,DB,0,0,0,1
2016,Rashad Johnson,TEN,30,FS,0,1,0,0
2016,Clinton McDonald,TAM,29,RDT,0,0,3.5,5
2016,Corey Moore,HOU,23,SS,0,3,0,0
2016,Adrian Phillips,SDG,24,SS,1,3,0,1
2016,Bacarri Rambo,MIA,26,FS,1,3,0,1
2016,Elandon Roberts,NWE,22,LLB,0,0,0,3
2016,Rashard Robinson,SFO,21,RCB,1,8,0,0
2016,Ahtyba Rubin,SEA,30,LDT,0,1,1,2
2016,Justin Simmons,DEN,23,DB,2,4,1,1
2016,Desmond Trufant,ATL,26,RCB,1,4,2,2
2016,B.W. Webb,NOR,26,CB,1,11,0,0
2016,Nate Allen,OAK,29,DB,2,3,0,0
2016,Michael Bennett,SEA,31,LDE,0,0,5,19
2016,NaVorro Bowman,SFO,28,LB,1,2,1,2
2016,Malcom Brown,NWE,22,RDT,0,0,3,5
2016,Morris Claiborne,DAL,26,RCB,1,5,0,0
2016,Su'a Cravens,WAS,21,LB,1,5,1,2
2016,Marcell Dareus,BUF,26,NT,0,1,3.5,4
2016,Quinton Dial,SFO,26,RDE,0,2,0,1
2016,Leger Douzable,BUF,30,DE,0,1,1.5,7
2016,Justin Durant,DAL,31,LB,0,3,1,2
2016,Dominique Easley,LAR,24,DT,0,1,3.5,5
2016,Brandon Flowers,SDG,30,LCB,1,5,0,0
2016,Tamba Hali,KAN,33,DE,0,0,3.5,9
2016,Duron Harmon,NWE,25,DB,1,2,0,0
2016,Josh Mauro,ARI,25,RDE,0,1,0,3
2016,Derrick Morgan,TEN,27,LOLB,0,1,9,22
2016,Earl Thomas,SEA,27,FS,2,10,0,0
2016,Trevin Wade,NYG,27,DB,0,3,0,0
2016,Jaylen Watkins,PHI,25,DB,0,3,0,0
2016,Shaquil Barrett,DEN,24,LB,0,2,1.5,4
2016,Kentrell Brice,GNB,22,DB,0,1,0,0
2016,Quinton Dunbar,WAS,24,DB,1,5,1,2
2016,Trey Flowers,NWE,23,RDE,0,1,7,14
2016,Leonard Floyd,CHI,24,LOLB,0,2,7,9
2016,Dante Fowler,JAX,22,DE,0,5,4,11
2016,Jacoby Glenn,CHI,23,DB,1,6,0,0
2016,Eli Harold,SFO,22,ROLB,0,0,3,6
2016,Kerry Hyder,DET,25,DE,0,1,8,19
2016,Jordan Jenkins,NYJ,22,ROLB,0,2,2.5,3
2016,Mychal Kendricks,PHI,26,RLB,0,1,0,3
2016,Miles Killebrew,DET,23,DB,1,1,0,1
2016,Kelcie McCray,SEA,28,DB,0,1,0,0
2016,Keith Reaser,SFO,25,DB,0,5,0,1
2016,Mario Addison,CAR,29,LB,0,1,9.5,15
2016,Jude Adjei-Barimah,TAM,24,DB,0,2,2,2
2016,T.J. Carrie,OAK,26,DB,1,4,0,0
2016,Kevin Johnson,HOU,24,DB,0,3,0,0
2016,Leonard Johnson,CAR,26,DB,0,1,1,1
2016,Jason Jones,MIA,30,RDT,0,2,3.5,12
2016,Chris Long,NWE,31,LDE,0,3,4,10
2016,Robert McClain,2TM,28,DB,0,1,0.5,1
2016,A'Shawn Robinson,DET,21,LDT,0,7,2,2
2016,Coty Sensabaugh,2TM,28,DB,0,0,0,2
2016,Preston Smith,WAS,24,LOLB,1,3,4.5,12
2016,Cameron Wake,MIA,34,LDE,1,2,11.5,24
2016,Corey White,BUF,26,DB,2,4,0,0
2016,Brandon Williams,ARI,24,DB,0,3,0,0
2016,Ezekiel Ansah,DET,27,RDE,0,0,2,15
2016,Geno Atkins,CIN,28,RDT,0,0,9,26
2016,Denico Autry,OAK,26,LDE,0,2,2.5,4
2016,Robert Ayers,TAM,31,LDE,0,1,6.5,19
2016,Anthony Chickillo,PIT,24,LOLB,0,0,2.5,8
2016,Leon Hall,NYG,32,DB,1,2,2,3
2016,Grady Jarrett,ATL,23,RDE,0,0,3,9
2016,Terrell McClain,DAL,28,LDT,0,0,2.5,7
2016,Dexter McCoil,SDG,25,DB,1,5,0,0
2016,Devin Taylor,DET,27,LDE,0,1,4.5,10
2016,Sean Weatherspoon,ATL,29,LB,0,0,0,0
2016,Willie Young,CHI,31,ROLB,0,2,7.5,9
2016,Cliff Avril,SEA,30,RDE,0,3,11.5,26
2016,Connor Barwin,PHI,30,RDE,0,2,5,10
2016,David Bruton,WAS,29,DB,0,2,1,1
2016,Glenn Dorsey,SFO,31,NT,0,0,1,3
2016,Robert Golden,PIT,26,SS,0,1,0,3
2016,Letroy Guion,GNB,29,NT,0,1,0,1
2016,Justin Houston,KAN,27,LOLB,0,1,4,6
2016,Cam Johnson,CLE,26,LOLB,0,1,3,6
2016,Paul Kruger,NOR,30,LDE,0,1,1.5,9
2016,Craig Mager,SDG,24,LCB,1,4,0,0
2016,Clay Matthews,GNB,30,ROLB,0,3,5,9
2016,Tony McDaniel,SEA,31,RDT,0,3,0,1
2016,Steve McLendon,NYJ,30,NT,0,0,3.5,6
2016,Yannick Ngakoue,JAX,21,LDE,1,2,8,14
2016,Eric Rowe,NWE,24,RCB,1,8,0,0
2016,Kevon Seymour,BUF,23,DB,0,3,0,0
2016,Jabaal Sheard,NWE,27,RDE,0,4,5,10
2016,Martrell Spaight,WAS,23,LB,1,1,0,0
2016,Sylvester Williams,DEN,28,NT,0,1,1,5
2016,Johnson Bademosi,DET,26,DB,1,5,0,0
2016,Max Bullough,HOU,24,LB,0,0,0,0
2016,Adrian Clayborn,ATL,28,LDE,0,0,4.5,15
2016,Bud Dupree,PIT,23,LB,0,1,4.5,7
2016,Kony Ealy,CAR,25,RDE,1,3,5,7
2016,Michael Pierce,BAL,24,DT,0,1,2,5
2016,Chris Prosinski,CHI,29,DB,0,1,0,0
2016,Darryl Roberts,NYJ,26,DB,0,6,0,0
2016,Patrick Robinson,IND,29,LCB,0,5,0,0
2016,Joe Schobert,CLE,23,LB,0,1,0.5,3
2016,LeShaun Sims,TEN,23,DB,1,3,0,0
2016,Sam Acho,CHI,28,LOLB,0,1,1,5
2016,Delvin Breaux,NOR,27,LCB,0,1,0,0
2016,Aaron Colvin,JAX,25,DB,0,0,1,1
2016,Vinny Curry,PHI,28,DE,0,0,2.5,12
2016,Javon Hargrave,PIT,23,NT,0,0,2,3
2016,Jaye Howard,KAN,28,DT,0,0,1,7
2016,Mike Hull,MIA,25,LB,1,1,0,0
2016,Myles Jack,JAX,21,RLB,0,2,0.5,2
2016,Sen'Derrick Marks,JAX,29,DT,0,1,3.5,9
2016,Dontari Poe,KAN,26,NT,0,3,1.5,9
2016,LaRoy Reynolds,ATL,26,LB,0,0,0,1
2016,Brian Robison,MIN,33,LDE,0,1,7.5,14
2016,Eugene Sims,LAR,30,RDE,0,1,2.5,5
2016,Ethan Westbrooks,LAR,26,DE,0,1,2,11
2016,Philip Wheeler,ATL,32,LB,0,0,0,2
2016,Steve Williams,2TM,25,DB,0,2,0,0
2016,Nat Berhe,NYG,25,DB,0,1,0,0
2016,Deon Bush,CHI,23,SS,0,1,0,0
2016,Donald Butler,MIA,28,LLB,0,0,0,0
2016,Maliek Collins,DAL,21,RDT,0,0,5,13
2016,Cameron Heyward,PIT,27,LDE,0,4,3,5
2016,Evander Hood,WAS,29,NT,0,3,1,6
2016,Charles James,2TM,26,DB,0,1,0,0
2016,Ricky Jean-Francois,WAS,30,LDE,0,1,1.5,2
2016,Chris Jones,KAN,22,RDE,0,4,2,10
2016,DaQuan Jones,TEN,25,LDE,0,0,1.5,3
2016,Datone Jones,GNB,26,DE,0,2,1,12
2016,A.J. Klein,CAR,25,MLB,0,1,1,1
2016,Rey Maualuga,CIN,29,MLB,1,2,0,0
2016,Brandon Mebane,SDG,31,NT,1,1,1,3
2016,Terrance Mitchell,KAN,24,DB,0,6,0,0
2016,Robert Nelson,HOU,26,DB,1,2,0,0
2016,Rob Ninkovich,NWE,32,RLB,0,2,4,5
2016,Will Parks,DEN,22,DB,1,3,0,0
2016,Domata Peko,CIN,32,LDT,0,3,0,2
2016,Mike Purcell,SFO,25,NT,0,0,0,0
2016,Brooks Reed,ATL,29,LDE,0,1,2,7
2016,Shamar Stephen,MIN,25,LDT,0,0,0,2
